ville;abri;ID DSP;ID Autolib;adresse;Code Postal;prises Autolib;prises Tiers T3;type;XY
Les Lilas;;93045-03;Les Lilas/Léon Renault/19;19 rue Léon Renault;93260;6.0;1;Voirie;48.881202, 2.422438
Montreuil;;93048-05;Montreuil/Théophile Sueur/196;196 boulevard Théophile Sueur;93100;6.0;;Voirie;48.862368, 2.465994
Montreuil;;93048-06;Montreuil/Pierre Brossolette/61;61 rue Pierre Brossolette;93100;6.0;;Voirie;48.863779, 2.481924
Montreuil;;93048-08;Montreuil/Désiré Préaux/11;11 rue Désiré Préaux;93100;6.0;;Voirie;48.858251, 2.431608
Neuilly Plaisance;;93049-01;Neuilly Plaisance/Georges Clémenceau/25;25 avenue Georges Clémenceau;93360;6.0;;Voirie;48.861818, 2.504106
Pantin;;93055-04;Pantin/Église/44;44 Place de l'Église;93500;6.0;;Voirie;48.892912, 2.413859
Pantin;;93055-14;Pantin/Anatole France/1;1 avenue Anatole France;93500;6.0;;Voirie;48.895095, 2.425628
La Garenne-Colombes;;92035-03;La Garenne-Colombes/Transvaal/3;3 Rue du Transvaal;92250;6.0;;Voirie;48.913462, 2.257245
La Garenne-Colombes;;92035-05;La Garenne-Colombes/National/31;31 boulevard National;92250;6.0;;Voirie;48.903855, 2.239145
Issy-les-Moulineaux;;92040-04;Issy-les-Moulineaux/Rodin/66;66 boulevard Rodin;92130;6.0;;Voirie;48.818799, 2.257864
Issy-les-Moulineaux;;92040-11;Issy-les-Moulineaux/Promenade du Verger/166;166 promenade du Verger;92130;6.0;;Voirie;48.817181, 2.268348
Issy-les-Moulineaux;;92040-19;Issy-les-Moulineaux/Champ Chardon/44;44 Rue de Champ Chardon;92130;6.0;;Voirie;48.82212, 2.252386
Issy-les-Moulineaux;;92040-20;Issy-les-Moulineaux/De Gaulle/88;88 avenue du Général de Gaulle;92130;6.0;;Voirie;48.818714, 2.277641
Issy-les-Moulineaux;;92040-22;Issy-les-Moulineaux/Égalité/57;57 Rue de l'Égalité;92130;6.0;;Voirie;48.816808, 2.260782
Malakoff;;92046-07;Malakoff/Legrand/1;1 Rue Legrand;92240;5.0;;Voirie;48.824223, 2.303989
Meudon;;92048-01;Meudon/Ponceau/2;2 rue Ponceau;92190;4.0;;Voirie;48.812414, 2.237817
Meudon;;92048-03;Meudon/Marcel Allégot/12;12 rue Marcel Allégot;92190;6.0;;Voirie;48.82122, 2.227455
Meudon-la-Forêt;;92048-07;Meudon/Jeanne Braconnier/3;3 rue Jeanne Braconnier;92360;6.0;;Voirie;48.789773, 2.21188
Meudon-la-Forêt;;92048-08;Meudon/Maréchal Juin/18;18 avenue du Maréchal Juin;92360;6.0;;Voirie;48.787682, 2.217136
